ABS,Ass
ACS,Acs
ADVAL,Valad
AND,E
ASC,Asc
ASN,Asn
ATN,Atn
BGET#,Prendib#
BPUT#,Mettib#
CALL,Chiama
CHAIN,Passa
CHR$,Car$
CLEAR,Pulisci
CLOSE#,Chiudi
CLS,Psc
COS,Cos
COUNT,Conta
DATA,Dati
DEF,Def
DEG,Gr
DELETE,Elimina
DIM,Dim
DIV,Div
DRAW,Disegna
END,Fine
ENDPROC,Fineproc
EOF#,Fdf
ERL,Erl
ERR,Err
EVAL,Valu
EXP,Esp
EXT#,Est#
FALSE,Falso
FN,Fn
FOR,Per
GET,Prendi
GET$,Prendi$
GOSUB,Vaisub
GOTO,Vai
GCOL,Colg
HIMEM,Memal
IF,Se
INKEY,Tasto
INKEY$,Tasto$
INPUT,Lettura
INPUT#,Lettura#
INSTR,Instr
INT,Int
LEFT$,Sinistra$
LEN,Lun
LET,Sia
LN,Ln
LOAD,Carica
LOCAL,Locale
LOG,Log
LOMEM,memba
MID$,Mez$
MOD,Mod
MOVE,Muovi
NEW,Nuovo
NEXT,Seguente
NOT,Non
OLD,Vecchio
ON,Al
OPENIN,Aprilet
OPENOUT,Apriscr
OPENUP,Apriagg
OR,O
OSCLI,Ricso
PLOT,Traccia
POINT,Punto
POS,Pos
PRINT,Stampa
PRINT#,Stampa#
PROC,Proc
PTR#,Ptr#
QUIT,Smetti
READ,Leggi
REM,Nota
REPEAT,Ripeti
REPORT,Rapporto
RESTORE,Rileggi
RETURN,Torna
RIGHT$,Destra$
RND,Cas
RUN,Avvia
SAVE,Salva
SGN,Sgn
SIN,Sen
SOUND,Suono
SQR,Rqu
STEP,Passo
STOP,Stop
STR$,Str$
STRING$,String$
TAN,Tan
THEN,Allora
TIME,Tempo
TO,A
TRUE,Vero
UNTIL,Fino
USR,Utn
VAL,Val
VDU,Schermo
WHILE,Mentre
WIDTH,Misure
XOR,Oes
