ABS,Abs
ACS,Acs
ADVAL,Valad
AND,Y
ASC,Asc
ASN,Asn
ATN,Atn
BGET#,Tomab#
BPUT#,Ponb#
CALL,Llama
CHAIN,Pasa
CHR$,Car$
CLEAR,Limpia
CLOSE#,Cierra
CLS,Lpa
COS,Cos
COUNT,Cuenta
DATA,Datos
DEF,Def
DEG,Gr
DELETE,Borra
DIM,Dim
DIV,Div
DRAW,Dibuja
END,Fin
ENDPROC,Finproc
EOF#,Fda
ERL,Erl
ERR,Err
EVAL,Valu
EXP,Exp
EXT#,Ext#
FALSE,Falso
FN,Fn
FOR,Para
GET,Toma
GET$,Toma$
GOSUB,Irsub
GOTO,Ve
GCOL,Colg
HIMEM,Memal
IF,Si
INKEY,Tecla
INKEY$,Tecla$
INPUT,Lectura
INPUT#,Lectura#
INSTR,Instr
INT,Int
LEFT$,Izquierda$
LEN,Lon
LET,Sea
LN,Ln
LOAD,Carga
LOCAL,Local
LOG,Log
LOMEM,memba
MID$,Med$
MOD,Mod
MODE,Modo
MOVE,Mueve
NEW,Nuevo
NEXT,Siguiente
NOT,No
OLD,Viejo
ON,Al
OPENIN,Abrelec
OPENOUT,Abreesc
OPENUP,Abreagr
OR,O
OSCLI,Lcso
PLOT,Traza
POINT,Punto
POS,Pos
PRINT,Imprime
PRINT#,Imprime#
PROC,Proc
PTR#,Ptr#
QUIT,Sal
READ,Lee
REM,Nota
REPEAT,Repite
REPORT,Reporte
RESTORE,Restaura
RETURN,Regresa
RIGHT$,Derecha$
RND,Alea
RUN,Inicia
SAVE,Guarda
SGN,Sgn
SIN,Sen
SOUND,Sonido
SQR,Rcu
STEP,Paso
STOP,Stop
STR$,Str$
STRING$,Cadena$
TAN,Tan
THEN,Ent
TIME,Tiempo
TO,A
TRUE,Verdadero
UNTIL,Hasta
USR,Usu
VAL,Val
VDU,Pantalla
WHILE,Mientras
WIDTH,Ancho
XOR, Oex
