ABS,Abs
ACS,Acs
ADVAL,Valad
AND,Et
ASC,Asc
ASN,Asn
ATN,Atn
BGET#,Prendb#
BPUT#,Metb#
CALL,Appelle
CHAIN,Passe
CHR$,Car$
CLEAR,Nettoie
CLOSE#,Ferme
CLS,Nte
COS,Cos
COUNT,Compte
DATA,Donnes
DEF,Def
DEG,Dg
DELETE,Efface
DIM,Dim
DIV,Div
DRAW,Dessine
END,Fin
ENDPROC,Finproc
EOF#,Fdf
ERL,Erl
ERR,Err
EVAL,Valu
EXP,Exp
EXT#,Ext#
FALSE,Faux
FN,Fn
FOR,Pour
GET,Prend
GET$,Prend$
GOSUB,Vasub
GOTO,Va
GCOL,Colg
HIMEM,Memha
IF,Si
INKEY,Touche
INKEY$,Touche$
INPUT,Lecture
INPUT#,Lecture#
INSTR,Instr
INT,Int
LEFT$,Gauche$
LEN,Lon
LET,Soit
LN,Ln
LOAD,Charge
LOCAL,Local
LOG,Log
LOMEM,memba
MID$,Mil$
MOD,Mod
MOVE,Bouge
NEW,Nouveau
NEXT,Suivant
NOT,Non
OLD,Vieux
ON,Au
OPENIN,Ouvrelec
OPENOUT,Ouvreecr
OPENUP,Ouvreajo
OR,Ou
OSCLI,Lcso
PLOT,Trace
POINT,Point
POS,Pos
PRINT,Imprime
PRINT#,Imprime#
PROC,Proc
PTR#,Ptr#
QUIT,Quitte
READ,Lis
REM,Note
REPEAT,Repete
REPORT,Rapport
RESTORE,Relis
RETURN,Retourne
RIGHT$,Droite$
RND,Alea
RUN,Lance
SAVE,Sauve
SGN,Sgn
SIN,Sin
SOUND,Son
SQR,Rca
STEP,Pas
STOP,Stop
STR$,Str$
STRING$,Chaine$
TAN,Tan
THEN,Alors
TIME,Temps
TO,A
TRUE,Vrai
UNTIL,Jusqua
USR,Uti
VAL,Val
VDU,Ecran
WHILE,Tantque
WIDTH,Largeur
XOR, OuexOEX
